connectivity,integration_hh_t
453.0,10.4077
172.0,7.6719
459.0,11.1199
467.0,11.4113
348.0,8.413
404.0,9.8788
476.0,11.7184
480.0,10.2509
181.0,6.6058
412.0,9.5078
303.0,9.4173
179.0,6.5978
470.0,11.1655
331.0,9.9148
319.0,10.0893
486.0,11.7058
421.0,10.5081
418.0,10.1552
118.0,6.2458
463.0,10.6002
457.0,10.498
278.0,9.3126
279.0,9.3848
351.0,8.4587
545.0,12.4844
582.0,11.2347
124.0,5.3575
359.0,10.222
517.0,10.8322
456.0,10.4276
503.0,11.7058
530.0,12.0826
452.0,10.8538
363.0,8.0342
456.0,11.0634
133.0,6.2638
80.0,6.6058
291.0,8.5183
181.0,7.8773
514.0,11.2696
453.0,11.293
452.0,11.4233
198.0,6.5938
453.0,10.7044
565.0,12.7925
464.0,11.3164
487.0,10.2028
313.0,9.6682
315.0,8.4325
494.0,11.7818
265.0,8.9896
442.0,10.222
538.0,12.15
450.0,10.9301
475.0,11.5567
510.0,11.5322
60.0,5.673
344.0,7.7539
448.0,10.8973
337.0,10.2509
453.0,10.3878
568.0,12.5419
341.0,9.0494
494.0,10.3977
453.0,10.8864
382.0,10.3878
367.0,8.5317
492.0,11.5567
329.0,8.6059
430.0,11.3164
353.0,9.0645
191.0,7.4412
163.0,6.6058
230.0,8.1607
540.0,10.9853
417.0,9.951
258.0,6.9429
157.0,7.2335
617.0,13.3904
390.0,9.7724
381.0,8.6744
487.0,10.7786
411.0,9.8164
295.0,8.6332
455.0,10.4276
460.0,10.9742
350.0,8.0342
214.0,8.4719
315.0,7.8319
516.0,11.52
506.0,10.5081
222.0,8.173
508.0,11.7564
394.0,9.6596
391.0,8.9526
344.0,9.7811
559.0,12.2182
375.0,8.5855
455.0,11.1885
356.0,8.8796
410.0,10.1837
412.0,9.5244
447.0,10.7467
511.0,10.5386
440.0,10.8538
354.0,9.1023
181.0,6.8339
277.0,8.2912
457.0,11.1199
459.0,11.0522
112.0,5.6818
452.0,10.3878
394.0,9.7899
399.0,9.0269
496.0,11.7691
480.0,11.9762
548.0,12.15
188.0,7.1905
