col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t
28,15,448,240,464,256,-990.0,-910.0,433.0,513.0,1,598,153088.0,330.0,12.7925,0.0213,1264.8277
29,15,464,240,480,256,-910.0,-830.0,433.0,513.0,1,592,151552.0,330.0,12.6881,0.0213,1501.7786
30,15,480,240,496,256,-830.0,-750.0,433.0,513.0,1,536,137216.0,314.0,11.8459,0.0212,1219.5121
31,15,496,240,512,256,-750.0,-670.0,433.0,513.0,1,456,116736.0,239.0,10.4176,0.0210,520.2736
32,15,512,240,528,256,-670.0,-590.0,433.0,513.0,1,327,83712.0,154.0,7.7099,0.0207,114.5428
33,15,528,240,544,256,-590.0,-510.0,433.0,513.0,1,313,80128.0,145.0,7.3211,0.0202,121.2765
34,15,544,240,560,256,-510.0,-430.0,433.0,513.0,1,302,77312.0,144.0,7.2673,0.0197,115.8858
35,15,560,240,576,256,-430.0,-350.0,433.0,513.0,1,280,71680.0,137.0,7.0783,0.0192,102.0641
36,15,576,240,592,256,-350.0,-270.0,433.0,513.0,1,261,66816.0,133.0,6.9208,0.0188,95.1417
37,15,592,240,608,256,-270.0,-190.0,433.0,513.0,1,248,63488.0,129.0,6.8083,0.0185,85.0434
38,15,608,240,624,256,-190.0,-110.0,433.0,513.0,1,233,59648.0,127.0,6.6911,0.0181,72.8625
43,15,688,240,704,256,210.0,290.0,433.0,513.0,1,181,46336.0,147.0,7.8773,0.0190,486.9388
44,15,704,240,720,256,290.0,370.0,433.0,513.0,1,189,48384.0,144.0,7.9754,0.0190,508.2082
45,15,720,240,736,256,370.0,450.0,433.0,513.0,1,188,48128.0,135.0,7.7209,0.0188,478.7859
46,15,736,240,752,256,450.0,530.0,433.0,513.0,1,155,39680.0,132.0,6.4493,0.0186,302.3496
47,15,752,240,768,256,530.0,610.0,433.0,513.0,1,104,26624.0,87.0,5.2113,0.0183,16.2400
48,15,768,240,784,256,610.0,690.0,433.0,513.0,1,101,25856.0,82.0,5.1840,0.0179,9.7245
49,15,784,240,800,256,690.0,770.0,433.0,513.0,1,104,26624.0,85.0,5.2163,0.0175,10.4994
50,15,800,240,816,256,770.0,850.0,433.0,513.0,1,107,27392.0,91.0,5.2414,0.0171,15.6136
51,15,816,240,832,256,850.0,930.0,433.0,513.0,1,115,29440.0,99.0,5.3156,0.0167,38.8289
52,15,832,240,848,256,930.0,1010.0,433.0,513.0,1,132,33792.0,111.0,5.4351,0.0164,122.8823
53,15,848,240,864,256,1010.0,1090.0,433.0,513.0,1,168,43008.0,148.0,6.7575,0.0161,391.5958
54,15,864,240,880,256,1090.0,1170.0,433.0,513.0,1,191,48896.0,150.0,6.9606,0.0158,613.5388
55,15,880,240,896,256,1170.0,1250.0,433.0,513.0,1,192,49152.0,152.0,6.9740,0.0154,628.3292
56,15,896,240,912,256,1250.0,1330.0,433.0,513.0,1,195,49920.0,155.0,6.9964,0.0151,730.3474
57,15,912,240,928,256,1330.0,1410.0,433.0,513.0,1,198,50688.0,176.0,7.5130,0.0148,935.1078
7,16,112,256,128,272,-2670.0,-2590.0,353.0,433.0,1,435,111360.0,236.0,9.7899,0.0150,255.7710
8,16,128,256,144,272,-2590.0,-2510.0,353.0,433.0,1,439,112384.0,236.0,9.7987,0.0154,227.2922
